name,rating,total_reviews
Dim Sum World,4.3,113
China Garden,3.9,660
Din Tai Fung,4.6,2377
One Bite Dumpling一口香饺子坊,4.5,215
Ma's Dumpling House,4.3,298
Golden Dragon Restaurant,4.1,1454
Dumpling House,4.3,429
Lunasia Dim Sum House,4.3,1273
Mama Lu's Dumpling House,4.3,2560
Ocean Bo Dim Sum Cafe,4.3,851
Atlantic Seafood and Dim Sum,4.0,193
Dim Sum House,4.0,176
Din Tai Fung,4.5,3625
Lunasia Dim Sum House,4.2,170
Mama Lu's Dumpling House,4.2,1527
Chi's Chinese Cuisine,4.5,651
Won Kok Restaurant,4.1,2876
JS Foothill Restaurant,4.8,26
Mayflower Dumpling Express,4.6,191
Lunasia Dim Sum House,4.2,560
Capital Seafood Beverly Hills,4.3,399
Sam Woo Cafe,4.3,113
Mama Lu’s Dumpling House,4.0,133
Din Tai Fung,4.5,2405
Shanghai Rose,4.1,487
Din Tai Fung,4.5,2393
Capital Noodle Bar Brea,4.3,313
Major Dumplings,4.6,29
dan modern chinese - pasadena,4.3,266
Seafood Cove 2,4.3,2050
Capital Seafood Restaurant,4.3,727
Bistro 1968,4.0,197
Yue Hai Restaurant,3.8,340
Full Moon House,4.3,546
Ho Sum Bistro,4.4,308
T.C.G. Dim Sum & Noodle House Valencia,4.6,16
NBC Seafood Restaurant,4.3,2092
ixlb DimSum Eats,4.4,54
Din Tai Fung,4.5,2122
Szechwan Chinese Food,4.4,682
Moon House,4.3,902
dan modern chinese - santa monica,4.3,253
Golden Tree Restaurant,4.5,189
18 Folds,4.2,332
Tian's Dim Sum Restaurant,4.1,236
Paradise Dynasty,4.2,556
Peking Restaurant,4.5,304
Sea Empress Seafood,4.0,639
Ping Pong Chinese Cuisine,4.4,284
Meizhou Express,4.3,158
Yang Chow Restaurant,4.5,1134
Hong Kong Dim Sum House,4.6,149
Long Xing Ji Juicy Dumpling,4.1,426
Peking Dumpling,4.3,20
Tasty Pot,4.5,50
101 Pot All You Can Eat,4.3,49
5 POT,4.8,32
Blazin Shabu Shabu,4.4,176
MLBB AYCE Rowland Heights 马路边边麻辣燙,4.2,227
CHUAN POT,4.3,81
Tasty Pot,4.7,45
Happy AYCE Hot Pot LA 开心火锅 洛杉矶店,4.4,1388
PiChaiYuan Hot Pot,4.7,410
吃货 Hot pot & BBQ,4.6,72
MLBB AYCE Hot Pot 马路边边直营店,4.3,118
Lao Ma Tou Hot Pot 老码头火锅 - Irvine,4.5,171
Solo Hot Pot,4.7,84
Yuan's Hotpot Los Angeles,4.4,127
Haidilao Hot Pot Irvine,4.7,1406
HOT°C POT,4.4,163
Fast Hotpot,4.3,77
MooMoo Hot Pot,4.6,18
Haidilao Hot Pot Century City,4.8,1195
Bon Shabu,4.3,723
Boiling Point Concept,4.3,513
Nice to Meet You Skewer Hot Pot - Now AYCE,4.5,163
Haidilao Hot Pot Arcadia,4.6,1680
东镇炭火铜锅 East Town Hot Pot,4.5,53
"Hot Pot, Hot Pot!",4.3,425
Boiling Point,4.2,622
Hot Pot City,4.4,184
Tasty Pot,4.3,109
Boiling Pot And Boba Street,4.3,117
Haidilao Hot Pot City of Industry,4.8,1935
Zhangliang Spicy Hotpot (Rowland Heights),4.9,1537
Monland Hot Pot City,4.3,164
Ah Lien Hot Pot,4.2,96
Boiling Point,4.0,866
AYCE Firecamp Hotpot & BBQ,4.1,71
Chong Qing YaoMei Hotpot,4.6,311
Chun La Hao Chong Qing Hot Pot,4.2,181
Paper Pot Shabu Shabu,4.3,133
Boiling Point,4.0,432
Lao Ma Tou Hot Pot - Rowland Heights,4.1,200
Boiling Point,4.2,739
Happy Sheep Hot Pot,4.2,433
Boiling Point,4.1,433
shancheng lameizi hot pot,4.3,88
Boiling Point,4.0,496
Boiling Point,3.9,436
Boiling Point,4.0,459
Pot on Fire & Tea Bar,4.1,341
Love at the Curb（爱在马路边）,4.9,179
YinTang Spicy Hot Pot,4.3,246
Mokkoji Shabu Shabu,4.3,113
Boiling Point,4.0,274
Wagyu House by The X Pot,4.6,491
Boiling Point,4.0,21
Qianlixiang spicy hot pot 천리향 마라탕,4.4,62
Dabin Kabob & Hotpot,4.5,71
Prime Hot Pot,3.8,40
Pixiu Mala Hongtang,4.3,113
Shancheng Lameizi,4.1,532
Xiaolongkan Hot Pot,4.1,226
Mandarin Noodle House,4.6,676
Noodles Noodles,4.6,32
LAN NOODLE West Covina,4.2,161
Capital Noodle Bar | Costa Mesa,4.3,456
NO. 1 NOODLE HOUSE,4.5,57
Noodle St.,4.4,935
S.T. Noodle Bar,4.6,400
Tasty Noodle House,4.2,384
Noodle Art,4.6,56
Noodle World,4.3,458
Noodle World,4.2,2223
Old Time Noodle House,4.3,367
Sup Noodle Bar - Buena Park,4.5,916
Noodle Art 一面之缘,4.1,244
Mountain Noodles,4.4,75
Venice Noodles,4.4,95
RiceString Noodle Shack,4.5,584
Tasty Noodle House - Irvine,4.0,290
Noodle St,4.5,368
MR DRAGON NOODLE HOUSE,4.5,348
Noodle St. Irvine,4.2,164
Noodle World Jr.,4.2,135
Noodle Monster,4.4,211
Noodle World,4.3,783
101 Noodle Express,4.0,863
Casa Noodle Teriyaki,4.5,231
Mr. Noodle,4.3,141
Thai Noodle King,4.4,207
Mr dragon noodle house,4.4,73
noodle palace,4.5,112
LA Kung Fu Noodle,4.7,54
Spicy Noodle House,4.4,397
Noodle St,4.4,254
Tasty Noodle House - Hacienda Heights,4.1,136
Qin West Noodle,4.5,537
Noodle St Arcadia,4.2,156
NoodleMii,4.2,110
Kaiju Noodle House,4.4,280
LAN NOODLE,4.6,84
Thai Noodle House,4.6,222
The Noodle (Peyton Restaurant),4.0,413
Capital Noodle Bar,4.1,307
Pa Ord Noodle,4.5,886
Hollywood Noodle,4.1,156
Lao Xi Noodle House,4.5,166
Watdongmoonlek Noodle,4.6,448
Tasty Noodle House,3.8,283
The Noodle麵麵店,3.7,312
Cyclo Noodles,4.5,614
Best Noodle House,4.3,211
The Soup and Noodle,4.2,294
Noodle World Jr,4.0,117
Tasty Noodle House,3.6,219
101 Noodle Express,4.1,307
Capital Noodle Bar Brea,4.3,313
WeHo Thai Noodle & Rice,4.3,262
SPICY NOODLE HOUSE,4.4,62
Qin West Noodle,4.5,913
Wen Hui Noodle Hours,4.3,108
Noodle House,3.3,102
